year,avg_authors,max_authors,pct_1author,pct_2author,pct_3author,pct_4author,pct_5plus,num_papers,num_unique_authors,citation_pct_1author
1869,1.0526315789473684,3,95.54655870445345,3.6437246963562755,0.8097165991902834,0.0,0.0,247,145,90.83969465648855
1870,1.100502512562814,3,90.95477386934674,8.040201005025125,1.0050251256281406,0.0,0.0,199,106,98.24561403508773
1871,1.040909090909091,3,96.81818181818181,2.272727272727273,0.9090909090909091,0.0,0.0,220,112,100.0
1872,1.048689138576779,3,95.50561797752809,4.119850187265918,0.37453183520599254,0.0,0.0,267,153,96.80851063829788
1873,1.06265664160401,3,94.23558897243107,5.2631578947368425,0.5012531328320802,0.0,0.0,399,202,100.0
1874,1.009090909090909,2,99.0909090909091,0.9090909090909091,0.0,0.0,0.0,330,178,97.02970297029702
1875,1.0256410256410255,2,97.43589743589743,2.5641025641025643,0.0,0.0,0.0,312,167,100.0
1876,1.0045871559633028,2,99.54128440366972,0.45871559633027525,0.0,0.0,0.0,218,121,98.83720930232558
1877,1.0366748166259168,2,96.33251833740832,3.667481662591687,0.0,0.0,0.0,409,184,98.76543209876543
1878,1.0151057401812689,2,98.48942598187311,1.5105740181268883,0.0,0.0,0.0,331,160,100.0
1879,1.0141242937853108,2,98.58757062146893,1.4124293785310735,0.0,0.0,0.0,354,194,100.0
1880,1.0424403183023874,2,95.75596816976127,4.244031830238727,0.0,0.0,0.0,377,186,100.0
1881,1.028169014084507,2,97.1830985915493,2.816901408450704,0.0,0.0,0.0,426,204,98.59154929577464
1882,1.0134874759152215,2,98.65125240847784,1.348747591522158,0.0,0.0,0.0,519,235,100.0
1883,1.0220264317180616,2,97.79735682819383,2.202643171806167,0.0,0.0,0.0,454,223,100.0
1884,1.0183066361556063,3,98.39816933638444,1.3729977116704806,0.2288329519450801,0.0,0.0,437,213,99.46808510638297
1885,1.0826446280991735,10,98.07162534435261,0.5509641873278237,0.0,0.27548209366391185,1.1019283746556474,363,198,94.95798319327731
1886,1.0481171548117154,7,96.86192468619247,2.510460251046025,0.20920502092050208,0.20920502092050208,0.20920502092050208,478,235,98.14814814814815
1887,1.01,2,99.0,1.0,0.0,0.0,0.0,500,193,100.0
1888,1.02020202020202,2,97.97979797979798,2.0202020202020203,0.0,0.0,0.0,495,210,94.24460431654676
